,MappedState,MappedDistrict,Month,Year,MaxTemp(C),MinTemp(C),Rainfall(mm)
333,Andhra Pradesh,GUNTUR,Jul,2018,34,29,59.71
334,Andhra Pradesh,GUNTUR,Aug,2018,32,27,162.02
335,Andhra Pradesh,GUNTUR,Sep,2018,33,26,63.4
336,Andhra Pradesh,GUNTUR,Oct,2018,32,24,129.75
337,Andhra Pradesh,GUNTUR,Nov,2018,31,23,91.7
338,Andhra Pradesh,GUNTUR,Dec,2018,29,21,56.6
339,Andhra Pradesh,GUNTUR,Jan,2019,31,19,16.4
340,Andhra Pradesh,GUNTUR,Feb,2019,35,22,14.4
341,Andhra Pradesh,GUNTUR,Mar,2019,38,26,3.2
342,Andhra Pradesh,GUNTUR,Apr,2019,40,28,32.2
343,Andhra Pradesh,GUNTUR,May,2019,43,31,22.1
344,Andhra Pradesh,GUNTUR,Jun,2019,39,30,131.4
345,Andhra Pradesh,GUNTUR,Jul,2019,33,27,277.7
346,Andhra Pradesh,GUNTUR,Aug,2019,32,26,437.4
347,Andhra Pradesh,GUNTUR,Sep,2019,30,24,440.3
348,Andhra Pradesh,GUNTUR,Oct,2019,30,24,383.2
349,Andhra Pradesh,GUNTUR,Nov,2019,30,22,50.9
350,Andhra Pradesh,GUNTUR,Dec,2019,29,21,24.7
351,Andhra Pradesh,GUNTUR,Jan,2020,30,20,29.5
352,Andhra Pradesh,GUNTUR,Feb,2020,32,21,15.9
353,Andhra Pradesh,GUNTUR,Mar,2020,36,24,12.8
354,Andhra Pradesh,GUNTUR,Apr,2020,39,25,30.5
355,Andhra Pradesh,GUNTUR,May,2020,42,29,2.9
